CONT. CONTÁBIL;CONTA CÓD.;DATA;NOME CLIENTE/FORNECEDOR;HISTÓRICO; CRÉDITO ;  DÉBITO
TROCA DE OLEO;28;11/01/22;NASA  ;FILTROS E OLEO MOTOR ;;1860
OFICINA DA CARRETA;20;11/02/22;RIO VERDE FERRAMENTAS ;CHAPA  COMPENSADO NVAL;;370
OFICINA DA CARRETA;20;11/01/22;LIBRELATO;CANTONEIRA, GRAXA,  ETC;;654,74
OFICINA DA CARRETA;20;11/01/22;PONTUAL SOLDAS SHEGO;MAO DE OBRA ;;1700
OFICINA DA CARRETA;20;11/01/22;CASA DAS MANGUEIRAS SHEGO;REBITE, TETENTOR ETC;;164
TROCA DE OLEO;28;11/01/22;TROCA DE OLEO ;SHEGO;;40
OFICINA DA CARRETA;20;14/01/22;VILELA PAULA E MAPIN SHE  50,00;TINTA EMBORRACHADA;;101
OFICINA DA CARRETA;20;18/01/22;AUTO ELETRICA SHE;LANTERNAS E CONEXOES;;350
DIESEL;13;19/01/22;DECIO RIO VERDE;200;;1128
ARLA;14;13/01/22;DECIO RIO VERDE;42;;138,6
OFICINA DO CAMINHAO;19;19/01/22;DECIO;DISCO TACOGRAFO E PEÇAS ;;24,9
OFICINA DA CARRETA;20;14/01/22;DJC AGRICOLA;;;43
OFICINA DA CARRETA;20;14/01/22;CASA DOS PARAFUSOS;;;120
OFICINA DA CARRETA;20;15/01/22;BIG LATAS;;;38
FRETE FUBA;1;20/01/22;FAZ. COCAL X RIO VERDE ;CANARANA;8971,2;
DIESEL;13;23/01/22;POSTOS CAMINHONEIRO E DECIO;873;;4911,92
ARLA;14;23/01/22;POSTOS CAMINHONEIRO E DECIO;;;166,36
CONCERTO DE PNEUS;18;23/01/22;BORRACHARIA;TROCAS;;200
SEGURO;25;23/01/22;SEGURO E TAXAS;;;39,86
COMISSAO;24;23/01/22;COMISSAO ;;;986,83
LICENÇA RODOVIA;21;23/01/22;ENTREGUE ;;;
CTE  GVA;26;31/01/22;CTE DOS FRETES;;;445,2
FRETE FUBA;1;24/01/22;MALU X RIO VERDE;;8765,75;
KM SAIDA ;2;27/01/22;445361;;;
KM CHEGADA ;3;24/01/22;447019;1658 KM RODADO;;
DIESEL;13;24/01/22;DECIO E CAMINHONEIRO;825;;4634,17
ARLA;14;24/01/22;DECIO;;;165,66
LICENÇA RODOVIA;21;24/01/22;RECEBI;;;
CLASSIFICADOR;22;24/01/22;GORGETA;;;20
COMISSAO;24;24/01/22;COMISSAO;;;964,23
SEGURO;25;24/01/22;SEGURO E TAXAS;;;39,04
CTE  GVA;26;31/01/22;CTE DOS FRETES;;;445,2
FRETE FUBA;1;27/01/22;MALU X RIO VERDE;;8994;
KM SAIDA ;2;27/01/22;447019;;;
KM CHEGADA ;3;27/01/22;448879;;;
DIESEL;13;27/01/22;DECIO E CAMINHONEIRO;812;;4547,27
ARLA;14;27/01/22;DECIO;;;166,76
CONCERTO DE PNEUS;18;27/01/22;BOORACHARIA RONALDO;;;180
COMISSAO;24;27/01/22;COMISSAO ;;;989,4
CLASSIFICADOR;22;27/01/22;GORGETA;;;20
LICENÇA RODOVIA;21;27/01/22;RECEBI;;;
FRETE FUBA;1;28/01/22;MALU X RIO VERDE;;10487,4;
KM SAIDA ;2;26/01/22;450645;;;
KM CHEGADA ;3;28/01/22;448679;1.966 KM;;
DIESEL;13;28/01/22;DECIO;939;;5259,25
ARLA;14;28/01/22;DECIO;;;186,54
LICENÇA RODOVIA;21;28/01/22;RECEBI;;;
CLASSIFICADOR;22;28/01/22;GORGETA;;;20
COMISSAO;24;28/01/22;COMISSAO ;;;1153,61
SEGURO;25;28/01/22;SEGURO E TAXAS;;;45,93
OFICINA DO CAMINHAO;19;28/01/22;CLIMATIZADOR;;;140
OFICINA DA CARRETA;20;28/01/22;REMENDO DA LONA;;;40
FRETE FUBA;1;28/01/22;JACOB ;55340;2305,83;
FRETE FUBA;1;29/01/22;JACOB ;56080;2335,82;
FRETE FUBA;1;31/01/22;JACOB ;58020;2417,5;
COMISSAO;24;31/01/22;COMISSAO ;;;1411,83
FRETE FUBA;1;05/02/22;MALU X RIO VERDE;;10487,4;
KM SAIDA ;2;03/02/22;448679;;;
KM CHEGADA ;3;05/02/22;450645;;;
DIESEL;13;05/02/22;DECIO E CAMINHONEIRO;556;;5815,25
ARLA;14;05/02/22;DECIO E CAMINHONEIRO;;;186,54
OFICINA DO CAMINHAO;19;05/02/22;DECIO ;CLIMATIZADOR;;180
LICENÇA RODOVIA;21;05/02/22;RECEBI;;;
CLASSIFICADOR;22;05/02/22;GORGETA;;;20
SEGURO;25;05/02/22;TAXAS E SEGURO;;;45,93
COMISSAO;24;05/02/22;COMISSAO ;;;1153,61
FRETE FUBA;1;06/02/22;JACOB   R$ 2,50;55480;2311,65;
FRETE FUBA;1;09/02/22;JACOB   R$ 2,50;55740;2322,5;
FRETE FUBA;1;10/02/22;JACOB   R$ 2,50;56460;2352,5;
FRETE FUBA;1;10/02/22;JACOB   R$ 2,50;55200;2300;
FRETE FUBA;1;12/02/22;JACOB   R$ 2,50;56840;2368,33;
FRETE FUBA;1;14/02/22;JACOB   R$ 2,50;57790;2407,97;
FRETE FUBA;1;16/02/22;JACOB   R$ 2,50;56590;2357,93;
FRETE FUBA;1;17/02/22;JACOB   R$ 2,50;54840;2285;
FRETE FUBA;1;20/02/22;JACOB   R$ 2,50;55410;2308,75;
FRETE FUBA;1;23/02/22;JACOB   R$ 2,50;55720;2321,67;
FRETE FUBA;1;24/02/22;JACOB   R$ 2,50;53300;2220,83;
FRETE FUBA;1;25/02/22;SEBASTIAO NOGUEIRA;57370;2390,41;
FRETE FUBA;1;26/02/22;SEBASTIAO NOGUEIRA;56960;2373,33;
FRETE FUBA;1;28/02/22;JACOB R$ 3,00;59260;2962,98;
COMISSAO;24;28/02/22;COMISSAO 20%;;;6656,77
CTE  GVA;26;16/02/22;CTE DOS FRETES;;;211
OFICINA DO CAMINHAO;19;20/02/22;POSTO KR;DISCO TACOGRAFO;;50
FRETE FUBA;1;01/03/22;JACOB  R$ 3,00;57060;2853;
FRETE FUBA;1;06/03/22;JACOB   R$ 4,00;57720;3848;
FRETE FUBA;1;08/03/22;JACOB  R$ 4,00;59540;3969,33;
FRETE FUBA;1;09/03/22;JACOB  R$ 4,00;38720;2581,33;
COMISSAO;24;09/03/22;COMISSAO 20%;;;2650,33
